"Time","116001F","","116001F","","116001F","",""
"and","141.00","","141.00","","141.00","",""
"Date","Discharge (ML/day)","","Discharge (ML/day)","","Discharge (ML/day)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 22/10/2009,"",    255,"",    255,"",    255,Sites:
00:00:00 23/10/2009,     431.918,     20,     393.358,     20,     461.333,     20,116001F - Herbert River at Ingham Lat:-18.63275 Long:146.14267 Elev:16.5m
00:00:00 24/10/2009,     482.841,     20,     461.333,     20,     493.406,     20, 
00:00:00 25/10/2009,     488.328,     20,     476.633,     20,     493.862,     20,Variables:
00:00:00 26/10/2009,     466.084,     20,     460.986,     20,     476.633,     20,140 - Stream Discharge (Cumecs)
00:00:00 27/10/2009,     459.150,     20,     456.797,     20,     463.055,     20,141 - Stream Discharge (Megalitres/Day)
00:00:00 28/10/2009,     503.891,     20,     463.055,     20,     621.043,     20, 
00:00:00 29/10/2009,     530.052,     20,     491.443,     20,     542.290,     20,Qualities:
00:00:00 30/10/2009,     523.827,     20,     516.931,     20,     533.889,     20,10 - Good
00:00:00 31/10/2009,     548.717,     20,     521.222,     20,     590.587,     20,20 - Fair
00:00:00 01/11/2009,     570.239,     20,     554.818,     20,     586.198,     20,30 - Poor
00:00:00 02/11/2009,     547.261,     20,     540.821,     20,     554.818,     20,60 - Estimate
00:00:00 03/11/2009,     563.170,     20,     553.018,     20,     568.555,     20,69 - CITEC - Derived Discharge
00:00:00 04/11/2009,     546.834,     20,     527.201,     20,     565.944,     20,79 - CITEC - Backwater Record
00:00:00 05/11/2009,     509.031,     20,     497.707,     20,     527.201,     20,130 - Not coded value
00:00:00 06/11/2009,     521.725,     20,     501.349,     20,     554.731,     20,151 - Data not yet available
00:00:00 07/11/2009,     574.688,     20,     554.731,     20,     580.900,     20,255 - No data exists
00:00:00 08/11/2009,     618.497,     20,     580.900,     20,     676.154,     20, 
00:00:00 09/11/2009,     703.374,     20,     676.154,     20,     708.566,     20, 
00:00:00 10/11/2009,     740.574,     20,     708.566,     20,     846.418,     20, 
00:00:00 11/11/2009,     881.558,     20,     824.213,     20,    1081.253,     20, 
00:00:00 12/11/2009,    2116.553,     20,    1081.253,     20,    2740.738,     20, 
00:00:00 13/11/2009,    2241.232,     20,    1719.058,     20,    2667.854,     20, 
00:00:00 14/11/2009,    1399.400,     20,    1199.383,     20,    1719.058,     20, 
00:00:00 15/11/2009,    1067.600,     20,     961.096,     20,    1199.383,     20, 
00:00:00 16/11/2009,     881.214,     20,     817.862,     20,     961.096,     20, 
00:00:00 17/11/2009,     767.769,     20,     725.224,     20,     817.862,     20, 
00:00:00 18/11/2009,     689.755,     20,     654.714,     20,     725.224,     20, 
00:00:00 19/11/2009,     624.783,     20,     599.158,     20,     654.714,     20, 
00:00:00 20/11/2009,     572.082,     20,     551.087,     20,     599.158,     20, 
00:00:00 21/11/2009,     540.842,     20,     530.596,     20,     551.087,     20, 
00:00:00 22/11/2009,     520.351,     20,     510.105,     20,     530.596,     20, 
00:00:00 23/11/2009,     500.218,     20,     492.070,     20,     510.105,     20, 
00:00:00 24/11/2009,     488.087,     20,     486.130,     20,     492.070,     20, 
00:00:00 25/11/2009,     511.748,     20,     487.604,     20,     572.422,     20, 
00:00:00 26/11/2009,     638.526,     20,     572.422,     20,     686.875,     20, 
00:00:00 27/11/2009,     686.490,     20,     680.690,     20,     689.472,     20, 
00:00:00 28/11/2009,     658.686,     20,     638.842,     20,     680.690,     20, 
00:00:00 29/11/2009,     830.009,     20,     666.180,     20,     970.920,     20, 
00:00:00 30/11/2009,     910.325,     20,     833.535,     20,     970.920,     20, 
00:00:00 01/12/2009,     761.208,     20,     696.902,     20,     833.535,     20, 
00:00:00 02/12/2009,     650.229,     20,     608.688,     20,     696.902,     20, 
00:00:00 03/12/2009,     574.562,     20,     545.033,     20,     608.688,     20, 
00:00:00 04/12/2009,     524.225,     20,     508.846,     20,     545.033,     20, 
00:00:00 05/12/2009,     502.321,     20,     497.707,     20,     508.846,     20, 
00:00:00 06/12/2009,     502.181,     20,     494.626,     20,     505.310,     20, 
00:00:00 07/12/2009,     481.510,     20,     466.248,     20,     494.626,     20, 
00:00:00 08/12/2009,     450.038,     20,     433.828,     20,     466.248,     20, 
00:00:00 09/12/2009,     417.618,     20,     401.408,     20,     433.828,     20, 
00:00:00 10/12/2009,     385.717,     20,     373.145,     20,     401.408,     20, 
00:00:00 11/12/2009,     354.649,     20,     331.682,     20,     373.145,     20, 
00:00:00 12/12/2009,     314.753,     20,     293.818,     20,     331.682,     20, 
00:00:00 13/12/2009,     273.063,     20,     256.403,     20,     293.818,     20, 
00:00:00 14/12/2009,     240.169,     20,     224.930,     20,     256.403,     20, 
00:00:00 15/12/2009,     218.233,     20,     216.096,     20,     224.930,     20, 
00:00:00 16/12/2009,     215.118,     20,     214.186,     20,     216.096,     20, 
00:00:00 17/12/2009,     225.866,     20,     215.000,     20,     237.440,     20, 
00:00:00 18/12/2009,     251.344,     20,     237.440,     20,     263.520,     20, 
