"Time","120006B","","120006B","","120006B","",""
"and","141.00","","141.00","","141.00","",""
"Date","Discharge (ML/day)","","Discharge (ML/day)","","Discharge (ML/day)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 01/10/1974,"",    255,"",    255,"",    255,Sites:
00:00:00 02/10/1974,    1317.252,     69,    1258.081,     69,    1362.409,     69,120006B - Burdekin River at Clare Lat:-19.75856 Long:147.24362 Elev:29m
00:00:00 03/10/1974,    1219.462,     69,    1210.550,     69,    1258.081,     69, 
00:00:00 04/10/1974,    1210.550,     69,    1210.550,     69,    1210.550,     69,Variables:
00:00:00 05/10/1974,    1198.839,     69,    1173.074,     69,    1210.550,     69,140 - Stream Discharge (Cumecs)
00:00:00 06/10/1974,    1154.805,     69,    1150.589,     69,    1173.074,     69,141 - Stream Discharge (Megalitres/Day)
00:00:00 07/10/1974,    1139.299,     69,    1114.463,     69,    1150.589,     69, 
00:00:00 08/10/1974,    1075.572,     69,    1024.693,     69,    1114.463,     69,Qualities:
00:00:00 09/10/1974,     980.242,     69,     947.819,     69,    1024.693,     69,9 - CITEC - Normal Reading
00:00:00 10/10/1974,     919.409,     69,     891.486,     69,     947.819,     69,10 - Good
00:00:00 11/10/1974,     874.559,     69,     870.653,     69,     891.486,     69,20 - Fair
00:00:00 12/10/1974,     870.653,     69,     870.653,     69,     870.653,     69,30 - Poor
00:00:00 13/10/1974,     870.653,     69,     870.653,     69,     870.653,     69,59 - CITEC - Derived Height
00:00:00 14/10/1974,     860.292,     69,     837.497,     69,     870.653,     69,60 - Estimate
00:00:00 15/10/1974,     821.333,     69,     817.603,     69,     837.497,     69,69 - CITEC - Derived Discharge
00:00:00 16/10/1974,     817.603,     69,     817.603,     69,     817.603,     69,130 - Not coded value
00:00:00 17/10/1974,     817.603,     69,     817.603,     69,     817.603,     69,255 - No data exists
00:00:00 18/10/1974,     817.603,     69,     817.603,     69,     817.603,     69, 
00:00:00 19/10/1974,     817.603,     69,     817.603,     69,     817.603,     69, 
00:00:00 20/10/1974,     817.603,     69,     817.603,     69,     817.603,     69, 
00:00:00 21/10/1974,     827.964,     69,     817.603,     69,     850.759,     69, 
00:00:00 22/10/1974,     856.562,     69,     837.497,     69,     870.653,     69, 
00:00:00 23/10/1974,     821.333,     69,     817.603,     69,     837.497,     69, 
00:00:00 24/10/1974,     817.603,     69,     817.603,     69,     817.603,     69, 
00:00:00 25/10/1974,     807.748,     69,     786.067,     69,     817.603,     69, 
00:00:00 26/10/1974,     761.311,     69,     737.122,     69,     786.067,     69, 
00:00:00 27/10/1974,     722.485,     69,     719.107,     69,     737.122,     69, 
00:00:00 28/10/1974,     710.197,     69,     690.595,     69,     719.107,     69, 
00:00:00 29/10/1974,     668.207,     69,     646.326,     69,     690.595,     69, 
00:00:00 30/10/1974,     633.085,     69,     630.029,     69,     646.326,     69, 
00:00:00 31/10/1974,     621.979,     69,     604.271,     69,     630.029,     69, 
00:00:00 01/11/1974,     584.069,     69,     564.354,     69,     604.271,     69, 
00:00:00 02/11/1974,     538.338,     69,     504.587,     69,     564.354,     69, 
00:00:00 03/11/1974,     496.696,     69,     477.533,     69,     522.623,     69, 
00:00:00 04/11/1974,     537.365,     69,     522.623,     69,     549.677,     69, 
00:00:00 05/11/1974,     515.217,     69,     512.611,     69,     526.511,     69, 
00:00:00 06/11/1974,     505.760,     69,     490.687,     69,     512.611,     69, 
00:00:00 07/11/1974,     479.999,     69,     477.533,     69,     490.687,     69, 
00:00:00 08/11/1974,     471.036,     69,     456.743,     69,     477.533,     69, 
00:00:00 09/11/1974,     446.608,     69,     444.269,     69,     456.743,     69, 
00:00:00 10/11/1974,     444.269,     69,     444.269,     69,     444.269,     69, 
00:00:00 11/11/1974,     444.269,     69,     444.269,     69,     444.269,     69, 
00:00:00 12/11/1974,     444.269,     69,     444.269,     69,     444.269,     69, 
00:00:00 13/11/1974,     444.269,     69,     444.269,     69,     444.269,     69, 
00:00:00 14/11/1974,     480.550,     69,     444.269,     69,     560.369,     69, 
00:00:00 15/11/1974,     755.106,     69,     560.369,     69,    1072.073,     69, 
00:00:00 16/11/1974,    1478.594,     69,    1072.073,     69,    1948.579,     69, 
00:00:00 17/11/1974,    2376.752,     69,    1948.579,     69,    2731.903,     69, 
00:00:00 18/11/1974,    2988.282,     69,    2731.903,     69,    3152.423,     69, 
00:00:00 19/11/1974,    3112.691,     69,    2861.519,     69,    3254.774,     69, 
00:00:00 20/11/1974,    3364.340,     69,    2625.566,     69,    4848.071,     69, 
00:00:00 21/11/1974,    5797.859,     69,    4848.071,     69,    6181.574,     69, 
00:00:00 22/11/1974,    5678.924,     69,    5497.114,     69,    5924.902,     69, 
00:00:00 23/11/1974,    6400.546,     69,    5924.902,     69,    7036.286,     69, 
00:00:00 24/11/1974,    7078.097,     69,    6349.558,     69,    7549.114,     69, 
00:00:00 25/11/1974,    5545.703,     69,    4928.796,     69,    6349.558,     69, 
00:00:00 26/11/1974,    4458.154,     69,    4095.727,     69,    4928.796,     69, 
