"Time","130005A","","130005A","","130005A","",""
"and","141.00","","141.00","","141.00","",""
"Date","Discharge (ML/day)","","Discharge (ML/day)","","Discharge (ML/day)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 01/01/1964,"",    255,"",    255,"",    255,Sites:
00:00:00 01/01/1965,    2085.399,     69,       0.000,     69,   70130.578,     69,130005A - Fitzroy River at The Gap Lat:-23.08897222 Long:150.10713889 Elev:0m
00:00:00 01/01/1966,    2496.304,     69,       1.901,     69,   85196.751,     69, 
00:00:00 01/01/1967,    3096.640,     69,       0.562,     69,   67627.224,     69,Variables:
00:00:00 01/01/1968,   16038.796,     69,      27.389,     69,  352116.506,     69,140 - Stream Discharge (Cumecs)
00:00:00 01/01/1969,     469.788,     69,      15.898,     69,   21855.615,     69,141 - Stream Discharge (Megalitres/Day)
00:00:00 01/01/1970,    7303.161,     60,       0.778,     60,  174950.324,     60, 
00:00:00 01/01/1971,   28410.360,     60,      41.386,     60,  446683.380,     60,Qualities:
00:00:00 01/01/1972,    7281.909,     69,      35.467,     69,  205015.494,     69,9 - CITEC - Normal Reading
00:00:00 01/01/1973,   17374.902,     69,     103.680,     69,  616933.718,     69,10 - Good
00:00:00 01/01/1974,   39820.149,     60,     295.142,     60,  419003.369,     60,15 - Water level below threshold (no flow)
00:00:00 01/01/1975,   22341.905,     69,      30.240,     69,  383693.460,     69,19 - CITEC - No Flow Reading
00:00:00 01/01/1976,   37888.493,     59,     352.814,     59,  452281.798,     59,20 - Fair
00:00:00 01/01/1977,   17797.671,     69,      56.246,     69,  299685.832,     69,30 - Poor
00:00:00 01/01/1978,   25464.816,      9,     277.258,      9,  691488.235,      9,59 - CITEC - Derived Height
00:00:00 01/01/1979,   17505.222,     59,      70.675,     59,  370287.550,     59,60 - Estimate
00:00:00 01/01/1980,    3097.922,     59,      17.021,     59,  126714.630,     59,69 - CITEC - Derived Discharge
00:00:00 01/01/1981,    8534.618,     59,      21.168,     59,  146500.100,     59,160 - Suspect
00:00:00 01/01/1982,    2134.946,     60,       0.130,     60,   52507.484,     60,255 - No data exists
00:00:00 01/01/1983,   42160.058,     59,     168.134,     59,  682263.868,     59, 
00:00:00 01/01/1984,    6113.720,     59,      34.301,     59,  143362.700,     59, 
00:00:00 01/01/1985,    2965.048,      9,      21.989,      9,   46745.467,      9, 
00:00:00 01/01/1986,    2418.139,     59,      13.176,     59,   78554.708,     59, 
00:00:00 01/01/1987,     943.763,     69,       4.061,     69,   16887.528,     69, 
00:00:00 01/01/1988,   16801.552,     69,      30.888,     69,  834842.554,     69, 
00:00:00 01/01/1989,   20320.906,     69,     160.661,     69,  397840.855,     69, 
00:00:00 01/01/1990,   15839.006,     59,      28.598,     59,  407465.599,     59, 
00:00:00 01/01/1991,   60647.268,     59,      52.056,     59, 1257096.507,     59, 
00:00:00 01/01/1992,     976.746,      9,       9.590,      9,   23294.909,      9, 
00:00:00 01/01/1993,    1357.492,      9,       2.246,      9,   70810.676,      9, 
00:00:00 01/01/1994,    7014.577,     10,       0.000,     10,  232973.065,     10, 
00:00:00 01/01/1995,    1786.205,     10,       0.000,     10,   58046.588,     10, 
00:00:00 01/01/1996,    7875.238,     59,       0.000,     59,  201871.096,     59, 
00:00:00 01/01/1997,    7829.851,     10,       0.000,     10,  287663.186,     10, 
00:00:00 01/01/1998,   14967.266,     59,       0.000,     59,  330435.679,     59, 
00:00:00 01/01/1999,    8159.329,     59,       0.000,     59,  106043.689,     59, 
00:00:00 01/01/2000,    9842.410,     10,       0.000,     10,  194196.918,     10, 
00:00:00 01/01/2001,    2967.994,     59,       0.000,     59,   87332.300,     59, 
00:00:00 01/01/2002,    1568.126,     15,       0.000,     15,   62650.541,     15, 
00:00:00 01/01/2003,    7651.588,     15,       0.000,     15,  324697.812,     15, 
00:00:00 01/01/2004,    3796.840,     19,       0.000,     19,   57834.044,     19, 
00:00:00 01/01/2005,    2493.610,     20,       0.000,     20,   76176.936,     20, 
00:00:00 01/01/2006,    1042.725,     60,       0.000,     60,   51867.303,     60, 
00:00:00 01/01/2007,    3353.902,     20,       0.000,     20,  110685.572,     20, 
00:00:00 01/01/2008,   33758.435,     20,       0.000,     20,  564273.220,     20, 
00:00:00 01/01/2009,    5127.218,     60,       0.000,     60,  120109.825,     60, 
00:00:00 01/01/2010,   72140.259,     10,       0.000,     10,  870276.534,     10, 
00:00:00 01/01/2011,   64330.245,     60,      80.352,     60, 1146864.795,     60, 
00:00:00 01/01/2012,   21631.754,     10,       1.555,     10,  425037.545,     10, 
00:00:00 01/01/2013,   23617.553,     10,       0.000,     10,  770679.451,     10, 
00:00:00 01/01/2014,    5969.553,     20,       0.000,     20,  140404.839,     20, 
00:00:00 01/01/2015,    5339.847,     30,       0.000,     30,  179187.899,     30, 
00:00:00 01/01/2016,    9878.801,     30,       0.000,     30,  203611.969,     30, 
00:00:00 01/01/2017,   17318.712,     10,       3.629,     10,  839741.002,     10, 
00:00:00 01/01/2018,    1915.737,     15,       0.000,     15,   59471.064,     15, 
