"Time","136007A","","136007A","","136007A","",""
"and","141.00","","141.00","","141.00","",""
"Date","Discharge (ML/day)","","Discharge (ML/day)","","Discharge (ML/day)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 01/01/1997,"",    255,"",    255,"",    255,Sites:
00:00:00 01/01/1998,    2319.842,     20,      10.670,     20,  174743.008,     20,136007A - Burnett River at Figtree Creek Lat:-25.28507017 Long:151.9894613 Elev:68.7m
00:00:00 01/01/1999,    1128.206,     20,      21.514,     20,   88982.842,     20, 
00:00:00 01/01/2000,     324.698,     20,       0.994,     20,   15475.320,     20,Variables:
00:00:00 01/01/2001,     473.271,     20,       4.190,     20,   29010.183,     20,140 - Stream Discharge (Cumecs)
00:00:00 01/01/2002,     190.932,     20,       5.270,     20,   10700.986,     20,141 - Stream Discharge (Megalitres/Day)
00:00:00 01/01/2003,    1421.786,     20,       0.000,     20,  158647.508,     20, 
00:00:00 01/01/2004,     877.648,     59,       0.000,     59,   21080.693,     59,Qualities:
00:00:00 01/01/2005,      72.537,     20,       0.000,     20,     981.115,     20,20 - Fair
00:00:00 01/01/2006,     230.008,     20,       0.000,     20,    1003.925,     20,30 - Poor
00:00:00 01/01/2007,      44.382,     20,       0.259,     20,     474.466,     20,59 - CITEC - Derived Height
00:00:00 01/01/2008,      50.032,     20,       0.475,     20,    1986.422,     20,60 - Estimate
00:00:00 01/01/2009,     187.766,     20,      16.243,     20,    1347.840,     20,130 - Not coded value
00:00:00 01/01/2010,   15796.400,     60,       0.000,     60,  798940.805,     60,255 - No data exists
00:00:00 01/01/2011,   10818.240,     20,       0.000,     20,  466085.105,     20, 
00:00:00 01/01/2012,    1400.816,     20,       0.389,     20,   32568.783,     20, 
00:00:00 01/01/2013,   19601.738,     30,       3.931,     30, 1440115.209,     30, 
00:00:00 01/01/2014,     216.312,     30,       3.413,     30,     979.819,     30, 
00:00:00 01/01/2015,    2560.060,     30,       1.987,     30,  226954.657,     30, 
00:00:00 01/01/2016,     692.221,     30,       2.462,     30,   41495.155,     30, 
00:00:00 01/01/2017,    2693.623,     30,       4.018,     30,  170505.476,     30, 
00:00:00 01/01/2018,    1108.371,     30,       4.104,     30,   41400.288,     30, 
00:00:00 01/01/2019,     498.096,     30,      26.482,     30,    1939.464,     30, 
00:00:00 01/01/2020,     713.074,     30,       4.450,     30,   12307.421,     30, 
00:00:00 01/01/2021,    2587.178,     30,       0.000,     30,  146873.003,     30, 
00:00:00 01/01/2022,    8058.724,     30,      19.224,     30,  253212.006,     30, 
00:00:00 01/01/2023,     223.961,     30,       0.000,     30,    2775.427,     30, 
00:00:00 01/01/2024,    2591.906,    130,       2.376,    130,   79253.209,    130, 
00:00:00 01/01/2025,"",    255,"",    255,"",    255, 

Data use licence: https://water-monitoring.information.qld.gov.au/wini/documents/copyright.pdf
Glossary of terms, abbreviations and metadata: https://water-monitoring.information.qld.gov.au/wini/documents/webglossary.pdf
